FCD Primary Pillar,FCD Sub-domain,Existing indicator?,"If yes, source (i.e. FSD, SDGs, etc.)","If partial match, list related indicator",Indicator name,Lead,in progress,Definition (what the indicator measures),Relevance (why it matters for the project),Unit of measurement,Available Hanoi,Available Addis,Geographic coverage,Data source,Method (calculation or derivation),Years available,Update frequency,Limitations,Responsible researcher,Notes,
Outcomes,Dietary intake,1,FSD,,Zero vegetable or fruit consumption,Dawit & Ky,In progress,Proportion of the population age 15 years and older who did not consume any vegetables or fruits in the previous day.,"Consumption of zero vegetables or fruits is an unhealthy practice, as these food groups are associated with reduced risk of NCDs. It is a general population diet quality indicator aligned with the infant and young child feeding indicator.",%,0,0,National,,,,,,,,
Outcomes,Dietary intake,1,FSD,,Whole grains consumption,Dawit & Ky,In progress,Proportion of the population age 15 years and older who consumed whole grains during the previous day or night.,"Whole grains are key components of the WHO's healthy diet recommendations. They are a good source of fiber and micronutrients, and consumption of whole grains has been associated with decreased risk of noncommunicable diseases.",%,0,0,National,,,,,,,,
Outcomes,Dietary intake,1,FSD,,Pulse consumption,Dawit & Ky,In progress,Proportion of the population age 15 years and older who consumed pulses during the previous day or night.,"Pulses are universally recommended in dietary guidelines. They are a good source of protein, vitamins, and minerals, and their consumption has been associated with decreased risk of micronutrient deficiencies and noncommunicable diseases.",%,0,0,National,,,,,,,,
Outcomes,Dietary intake,1,FSD,,Nuts or seeds consumption,Dawit & Ky,In progress,Proportion of the population age 15 years and older who consumed nuts or seeds during the previous day or night.,"Nuts and seeds are included in the WHO's healthy diet recommendations. They are a good source of unsaturated fats, protein, vitamins, and minerals, and their consumption has been associated with decreased risk of noncommunicable diseases.",%,0,0,National,,,,,,,,
Outcomes,Dietary intake,1,FSD,,Unprocessed red meat consumption,Dawit & Ky,In progress,Proportion of the population age 15 years and older who consumed unprocessed red meat during the previous day or night.,"Unprocessed red meat is a source of protein, vitamins, and minerals but can also be high in saturated fat. In addition, red meat production is associated with a high environmental footprint, especially for beef. Therefore, excessive consumption should be avoided.",%,0,0,National,,,,,,,,
Outcomes,Dietary intake,1,FSD,,Fast food or instant noodles consumption,Dawit & Ky,In progress,Proportion of the population age 15 years and older who consumed instant noodles or fast food during the previous day or night.,"Instant noodles and fast food are ultraprocessed foods that typically have high calorie density, high sodium content, and often high fat and saturated fat content and thus should be limited. Excessive conusumption may increase the risk of overweight and obesity and diet-related noncommunicable diseases. Consumption of one serving often exceeds the WHO limit on salt per day.",%,0,0,National,,,,,,,,
Outcomes,Dietary intake,1,FSD,,Deep fried foods consumption,Dawit & Ky,In progress,Proportion of the population age 15 years and older who consumed deep fried foods during the previous day or night.,Deep fried foods typically have high calorie and fat density and thus should be limited. Excessive conusumption may increase the risk of overweight and obesity and diet-related noncommunicable diseases.,%,0,0,National,,,,,,,,
Outcomes,Dietary intake,1,FSD,,Sweet foods consumption ,Dawit & Ky,In progress,Proportion of the population age 15 years and older who consumed sweet foods during the previous day or night.,"Sweet foods typically have more calories, higher added sugar content, and fewer nutrients and thus should be limited. The WHO recommends added sugars be limited to less than 10% of total energy. Excessive conusumption may increase the risk of overweight and obesity and diet-related noncommunicable diseases. Sweet food consumption is part of WHO and UNICEF's ""Unhealthy food consumption"" indicator for infants and young children.",%,0,0,National,,,,,,,,
Outcomes,Nutritional status,1,FSD,,Adult underweight,Dawit & Ky,In progress,Proportion of adults aged 18 and older with BMI <18.5 kg/mІ. Estimates are age-standardized.,"Adults who are underweight may not be receiving the adequate amount of energy and macronutrients, placing them at greater risk for micronutrient deficiencies, osteoporosis, infection, and mortality. Women of reproductive age who are underweight may be at greater risk for adverse pregnancy outcomes if they become pregnant.",n/a,0,0,National,,,,,,,,
Outcomes,Nutritional status,1,FSD,,Anemia in women 15-49 years (SDG 2.2.3),Dawit & Ky,In progress,Proportion of women of reproductive age (15-49 years) with anemia. This estimate is for both pregnant and non-pregnant women. Anemia in defined as having a hemoglobin concentration of less than 12 grams per deciliter for non-pregnant and lactating women and of less than 11 grams per deciliter for pregnant women.,"Animal-source foods, particularly liver; bivalves including oysters, clams, and mussels; small oily fish; and meat, leafy greens, other vegetables, and pulses are good sources of dietary iron, which prevents iron-deficiency anemia. Other causes of anemia include intestinal parasitic infections, malaria, and other nutritional deficiencies. Women's iron intake needs are greater than men's. Iron deficiency during pregnancy can result in complications for mother and fetus, including low birth weight.",n/a,0,0,National,,,,,,,,
Outcomes,Nutritional status,1,FSD,,Double burden of malnutrition,Dawit & Ky,In progress,"The double burden of malnutrition according to weight and height data is defined as a high prevalence of both undernutrition and overweight in at least one population group. High prevalence of undernutrition is defined as prevalence of wasting >15% or stunting >30% in children under 5 years or prevalence of underweight in women >20%. High prevalence of overweight is defined as adult or child overweight prevalence greater than 20%, 30%, or 40%.",The double burden of malnutrition highlights a food system where inequitable distribution of resources leads to undernutrition in some populations and overnutrition in other populations. Countries may be experiencing increasingly higher prevalences of overweight and obesity while continuing to have persistently high prevalences of undernutrition.,n/a,0,0,National,,,,,,,,
Outcomes,Nutritional status,1,FSD,,Obesity in children and adolescents 5-19 years,Dawit & Ky,In progress,Proportion of children and adolescents aged 5-19 years with BMI-for-age > 2 standard deviations from the median of the WHO growth reference for children and adolescents.,"Overweight and obese children are at higher risk of obesity, high blood pressure, noncommunicable diseases, disability, and death later in life. Childhood overweight stems from an energy imbalance related to excess caloric intake and inadequate physical activity. Excess weight during adolescence may cause early puberty and longer term health consequences.",n/a,0,0,National,,,,,,,,
Outcomes,Nutritional status,1,FSD,,Overweight in children and adolescents 5-19 years,Dawit & Ky,In progress,Proportion of children and adolescents aged 5-19 years with BMI-for-age > 1 standard deviations from the median of the WHO growth reference for children and adolescents.,"Overweight and obese children are at higher risk of obesity, high blood pressure, noncommunicable diseases, disability, and death later in life. Childhood overweight stems from an energy imbalance related to excess caloric intake and inadequate physical activity. Excess weight during adolescence may cause early puberty and longer term health consequences.",n/a,0,0,National,,,,,,,,
Outcomes,Nutritional status,1,FSD,,Stunting and overweight in children under 5 years,Dawit & Ky,In progress,Percentage of children under 5 years who are both stunted and overweight.,Stunting and overweight are indicators of chronic malnutrition. Children who experience both may be consuming diets that lack essential nutrients but are calorically dense.,n/a,0,0,National & city,,,,,,,,
Outcomes,Nutritional status,1,FSD,,Underweight in children and adolescents 5-19 years,Dawit & Ky,In progress,Proportion of children and adolescents aged 5-19 years with BMI-for-age < 2 standard deviation below the median of the WHO growth reference for children and adolescents.,Children and adolescents who are underweight may have a greater risk of infection and nutritional deficiencies. Their height may be impacted by their inadequate intake of energy and macronutrients during periods of growth.,n/a,0,0,National,,,,,,,,
Outcomes,Noncommunicable diseases,1,FSD,,Adult raised blood pressure,Dawit & Ky,In progress,"Proportion of adults aged 18 and older with raised blood pressure. Raised blood pressure is defined as blood pressure, systolic, and/or diastolic blood pressure ?140/90 mmHg. Estimates are age-standardized.","High blood pressure or hypertension increases the risk of cardiovascular disease. High sodium intake, through consumption of salt in prepared and processed foods, and low potassium intake, which can be improved by consuming fruits and vegetables, contribute to high blood pressure (https://www.who.int/news-room/fact-sheets/detail/healthy-diet).",n/a,0,0,National,,,,,,,,
Outcomes,Noncommunicable diseases,1,FSD,,Noncommunicable disease mortality rate,Dawit & Ky,In progress,"The age-standardized NCD mortality rate is a weighted average of the age-specific mortality rates from NCDs per 100,000 persons, where the weights are the proportions of persons in the corresponding age groups of the WHO standard population.","Diet is the biggest risk factor contributing to noncommunicable diseases, including cardiovascular disease, diabetes, cancers, and respiratory diseases. Source: Afshin et al, 2019.",n/a,0,0,National,,,,,,,,
Outcomes,Environmental impacts,1,FSD,,Greenhouse gas emissions of food consumption per person,Shamilah,In progress,Greenhouse gas emissions (measured in carbon dioxide equivalent) related to current food consumption patterns. Food consumption is estimated using FAO Food Balance Sheets data as a proxy.,"Greenhouse gas emissions cause climate change, which drives wide-ranging negative impacts on the environment (global warming, sea level rise, extreme weather events) and for human health. Food production and livestock directly contribute to emissions, in addition to indirectly contributing to emissions through land use change.",kg CO2eq/capita,0,0,,,,,,,,,
Outcomes,Environmental impacts,1,FSD,,Water use linked to food consumption per person,Shamilah,In progress,"Freshwater withdrawals needed to produce food under current food consumption patterns. Includes irrigation water (for crops and livestock feed), animal drinking water, and water used during food processing. Withdrawals are weighted by local water scarcity. Food consumption is estimated using FAO Food Balance Sheets data as a proxy.",Countries experiencing high water stress associated with dietary choices may have larger potential for dietary shifts to improve water-use efficiency.,l/capita,0,0,,,,,,,,,
Outcomes,Environmental impacts,1,FSD,,Eutrophication of food consumption per person,Shamilah,In progress,The increase in phosphorous and nitrogen concentration (measured in phosphate equivalent) in water and soil as a result of current food consumption patterns. Food consumption is estimated using FAO Food Balance Sheets data as a proxy.,Excess fertilizer application during food production can lead to runoff into streams and rivers and subsequent eutrophication of freshwater and marine ecosystems. Eutrophication leads to fish dieback from lack of oxygen and other environmental harms.,g PO43eq/capita,0,0,,,,,,,,,
Outcomes,Environmental impacts,1,FSD,,Food systems greenhouse gas emissions ,Shamilah,In progress,"Production based greenhouse gas emissions (carbon dioxide, methane, nitrous oxide, and F-gases) for food systems, expressed in kT CO2eq (AR5).",Food systems account for about 30% of total anthropogenic emissions. Reducing food systems emissions is crucial to reduce the impact of climate change and reach the targets of the Paris Agreement. And it is a sub-indicator of the FAO monitoring progress towards sustainable agriculture (SDG 2.4.1).,kT CO2eq,0,0,,,,,,,,,
Food Supply Chains,Storage and distribution,1,FSD,,Percent of the rural population with access to electricity (%),Shamilah,In progress,Proportion of the rural population with access to electricity.,"Cold storage may reduce food losses and improve food quality, also incentivizing farmers to produce more perishable foods. However, cold storage requires a reliable source of electricity. Electricity may also improve other areas of food supply chains, including production and processing.",%,0,0,,,,,,,,,
